ts_code,detect_date,target_date,window_trading_days,status,direction,detect_close,target_close,change_amount,change_pct,error_message
603986.SH,2025-09-12,2025-09-25,10,ok,up,190.21,197.41,7.199999999999989,0.0378528994269491,
603993.SH,2025-09-12,2025-09-25,10,ok,up,13.42,13.87,0.4499999999999993,0.033532041728762986,
605289.SH,2025-09-12,2025-09-25,10,ok,up,53.87,63.89,10.020000000000003,0.18600334137739008,
000737.SZ,2025-09-15,2025-09-26,10,ok,up,13.96,14.78,0.8199999999999985,0.05873925501432654,
001309.SZ,2025-09-15,2025-09-26,10,ok,up,117.91,172.3,54.390000000000015,0.46128403019251984,
002330.SZ,2025-09-15,2025-09-26,10,ok,down,5.45,4.83,-0.6200000000000001,-0.11376146788990828,
002392.SZ,2025-09-15,2025-09-26,10,ok,down,9.97,9.37,-0.6000000000000014,-0.06018054162487476,
002471.SZ,2025-09-15,2025-09-26,10,ok,down,5.16,5.06,-0.10000000000000053,-0.019379844961240414,
002703.SZ,2025-09-15,2025-09-26,10,ok,up,13.51,14.38,0.870000000000001,0.06439674315321992,
300750.SZ,2025-09-15,2025-09-26,10,ok,up,354.7,380.4,25.69999999999999,0.07245559627854523,
300813.SZ,2025-09-15,2025-09-26,10,ok,down,39.19,34.06,-5.1299999999999955,-0.13090073998468987,
301099.SZ,2025-09-15,2025-09-26,10,ok,down,41.72,39.65,-2.0700000000000003,-0.049616490891658684,
600531.SH,2025-09-15,2025-09-26,10,ok,down,11.97,11.64,-0.33000000000000007,-0.027568922305764416,
600601.SH,2025-09-15,2025-09-26,10,ok,down,11.93,10.1,-1.83,-0.1533948030176027,
600977.SH,2025-09-15,2025-09-26,10,ok,down,21.18,14.95,-6.23,-0.2941454202077432,
603050.SH,2025-09-15,2025-09-26,10,ok,up,17.64,17.74,0.09999999999999787,0.005668934240362691,
603127.SH,2025-09-15,2025-09-26,10,ok,down,41.65,36.93,-4.719999999999999,-0.1133253301320528,
605319.SH,2025-09-15,2025-09-26,10,ok,up,35.68,36.1,0.4200000000000017,0.011771300448430541,
000428.SZ,2025-09-16,2025-09-29,10,ok,down,4.02,3.3,-0.7199999999999998,-0.17910447761194026,
000700.SZ,2025-09-16,2025-09-29,10,ok,down,11.28,11.08,-0.1999999999999993,-0.017730496453900648,
000967.SZ,2025-09-16,2025-09-29,10,ok,down,7.11,7.06,-0.05000000000000071,-0.007032348804500803,
001230.SZ,2025-09-16,2025-09-29,10,ok,down,24.9,23.7,-1.1999999999999993,-0.048192771084337324,
002172.SZ,2025-09-16,2025-09-29,10,ok,down,4.73,4.1,-0.6300000000000008,-0.13319238900634264,
002183.SZ,2025-09-16,2025-09-29,10,ok,down,6.04,5.22,-0.8200000000000003,-0.13576158940397356,
002279.SZ,2025-09-16,2025-09-29,10,ok,down,7.18,6.7,-0.47999999999999954,-0.06685236768802222,
002310.SZ,2025-09-16,2025-09-29,10,ok,down,2.76,2.51,-0.25,-0.09057971014492755,
300013.SZ,2025-09-16,2025-09-29,10,ok,down,4.75,4.21,-0.54,-0.11368421052631579,
300043.SZ,2025-09-16,2025-09-29,10,ok,down,7.72,6.53,-1.1899999999999995,-0.1541450777202072,
300299.SZ,2025-09-16,2025-09-29,10,ok,down,7.26,6.56,-0.7000000000000002,-0.09641873278236918,
300815.SZ,2025-09-16,2025-09-29,10,ok,down,28.59,26.92,-1.6699999999999982,-0.05841203217908353,
300953.SZ,2025-09-16,2025-09-29,10,ok,up,173.7,179.95,6.25,0.03598157743235464,
301419.SZ,2025-09-16,2025-09-29,10,ok,down,37.49,35.91,-1.5800000000000054,-0.04214457188583637,
301607.SZ,2025-09-16,2025-09-29,10,ok,up,37.95,39.8,1.8499999999999943,0.04874835309617903,
600054.SH,2025-09-16,2025-09-29,10,ok,down,12.55,11.87,-0.6800000000000015,-0.05418326693227103,
600173.SH,2025-09-16,2025-09-29,10,ok,down,9.5,9.19,-0.3100000000000005,-0.03263157894736848,
600629.SH,2025-09-16,2025-09-29,10,ok,up,18.9,26.08,7.18,0.3798941798941799,
603083.SH,2025-09-16,2025-09-29,10,ok,up,119.9,132.26,12.359999999999985,0.10308590492076718,
603199.SH,2025-09-16,2025-09-29,10,ok,down,39.78,36.55,-3.230000000000004,-0.0811965811965813,
603266.SH,2025-09-16,2025-09-29,10,ok,down,26.04,25.67,-0.36999999999999744,-0.014208909370199595,
603528.SH,2025-09-16,2025-09-29,10,ok,down,9.64,8.81,-0.8300000000000001,-0.08609958506224066,
603617.SH,2025-09-16,2025-09-29,10,ok,down,9.3,8.05,-1.25,-0.13440860215053763,
603655.SH,2025-09-16,2025-09-29,10,ok,down,46.38,37.8,-8.580000000000005,-0.1849935316946961,
603959.SH,2025-09-16,2025-09-29,10,ok,down,7.11,6.4,-0.71,-0.09985935302390998,
605303.SH,2025-09-16,2025-09-29,10,ok,down,18.94,17.05,-1.8900000000000006,-0.09978880675818376,
002126.SZ,2025-09-17,2025-09-30,10,ok,down,43.9,41.36,-2.539999999999999,-0.057858769931662855,
002222.SZ,2025-09-17,2025-09-30,10,ok,up,46.4,49.7,3.3000000000000043,0.07112068965517251,
002249.SZ,2025-09-17,2025-09-30,10,ok,up,10.9,11.52,0.6199999999999992,0.056880733944954055,
002338.SZ,2025-09-17,2025-09-30,10,ok,up,55.62,57.65,2.030000000000001,0.036497662711254965,
002472.SZ,2025-09-17,2025-09-30,10,ok,up,48.45,49.81,1.3599999999999994,0.028070175438596478,
002549.SZ,2025-09-17,2025-09-30,10,ok,up,18.05,24.34,6.289999999999999,0.3484764542936287,
002562.SZ,2025-09-17,2025-09-30,10,ok,up,7.25,7.26,0.009999999999999787,0.0013793103448275568,
002611.SZ,2025-09-17,2025-09-30,10,ok,down,19.02,18.02,-1.0,-0.052576235541535225,
002617.SZ,2025-09-17,2025-09-30,10,ok,down,10.81,9.28,-1.5300000000000011,-0.14153561517113794,
002796.SZ,2025-09-17,2025-09-30,10,ok,down,20.79,19.51,-1.2799999999999976,-0.06156806156806145,
300007.SZ,2025-09-17,2025-09-30,10,ok,down,68.75,63.57,-5.18,-0.07534545454545453,
300115.SZ,2025-09-17,2025-09-30,10,ok,up,31.64,41.68,10.04,0.31731984829329957,
300260.SZ,2025-09-17,2025-09-30,10,ok,up,39.4,45.66,6.259999999999998,0.15888324873096443,
300469.SZ,2025-09-17,2025-09-30,10,ok,down,88.8,78.03,-10.769999999999996,-0.12128378378378374,
300809.SZ,2025-09-17,2025-09-30,10,ok,down,47.87,42.88,-4.989999999999995,-0.10424065176519731,
301002.SZ,2025-09-17,2025-09-30,10,ok,down,44.75,39.68,-5.07,-0.11329608938547486,
301008.SZ,2025-09-17,2025-09-30,10,ok,up,41.95,43.46,1.509999999999998,0.03599523241954703,
301100.SZ,2025-09-17,2025-09-30,10,ok,up,20.68,20.78,0.10000000000000142,0.00483558994197299,
301287.SZ,2025-09-17,2025-09-30,10,ok,down,42.44,39.28,-3.1599999999999966,-0.07445805843543819,
301392.SZ,2025-09-17,2025-09-30,10,ok,down,178.05,173.13,-4.920000000000016,-0.02763268744734634,
301499.SZ,2025-09-17,2025-09-30,10,ok,down,29.23,26.77,-2.460000000000001,-0.0841601094765652,
600410.SH,2025-09-17,2025-09-30,10,ok,down,22.28,19.12,-3.16,-0.14183123877917414,
600895.SH,2025-09-17,2025-09-30,10,ok,up,37.57,54.95,17.380000000000003,0.4626031408038329,
603275.SH,2025-09-17,2025-09-30,10,ok,down,58.11,53.93,-4.18,-0.07193254173119945,
603286.SH,2025-09-17,2025-09-30,10,ok,up,39.55,44.39,4.840000000000003,0.12237673830594194,
603308.SH,2025-09-17,2025-09-30,10,ok,up,32.4,32.52,0.12000000000000455,0.0037037037037038444,
603809.SH,2025-09-17,2025-09-30,10,ok,down,17.44,16.63,-0.8100000000000023,-0.04644495412844049,
603906.SH,2025-09-17,2025-09-30,10,ok,down,17.56,17.23,-0.3299999999999983,-0.018792710706150247,
605299.SH,2025-09-17,2025-09-30,10,ok,down,9.83,9.25,-0.5800000000000001,-0.0590030518819939,
605588.SH,2025-09-17,2025-09-30,10,ok,up,55.84,62.15,6.309999999999995,0.11300143266475636,
000559.SZ,2025-09-18,2025-10-09,10,ok,up,11.52,13.03,1.5099999999999998,0.13107638888888887,
002050.SZ,2025-09-18,2025-10-09,10,ok,up,45.55,49.39,3.8400000000000034,0.08430296377607033,
002067.SZ,2025-09-18,2025-10-09,10,ok,down,7.16,6.6,-0.5600000000000005,-0.07821229050279337,
301013.SZ,2025-09-18,2025-10-09,10,ok,down,29.23,28.28,-0.9499999999999993,-0.03250085528566539,
301421.SZ,2025-09-18,2025-10-09,10,ok,up,94.5,111.9,17.400000000000006,0.1841269841269842,
600376.SH,2025-09-18,2025-10-09,10,ok,down,8.07,7.91,-0.16000000000000014,-0.019826517967781926,
600699.SH,2025-09-18,2025-10-09,10,ok,down,36.88,34.24,-2.6400000000000006,-0.07158351409978309,
603626.SH,2025-09-18,2025-10-09,10,ok,down,17.7,14.14,-3.5599999999999987,-0.2011299435028248,
603988.SH,2025-09-18,2025-10-09,10,ok,down,31.86,30.9,-0.9600000000000009,-0.03013182674199626,
001234.SZ,2025-09-19,2025-10-10,10,ok,down,40.15,27.1,-13.049999999999997,-0.3250311332503113,
002272.SZ,2025-09-19,2025-10-10,10,ok,down,18.7,16.9,-1.8000000000000007,-0.09625668449197865,
002402.SZ,2025-09-19,2025-10-10,10,ok,up,45.61,48.5,2.8900000000000006,0.06336329752247316,
002468.SZ,2025-09-19,2025-10-10,10,ok,down,18.76,17.59,-1.1700000000000017,-0.062366737739872155,
002674.SZ,2025-09-19,2025-10-10,10,ok,down,17.17,15.32,-1.8500000000000014,-0.10774606872451958,
600498.SH,2025-09-19,2025-10-10,10,ok,down,29.88,27.25,-2.629999999999999,-0.08801874163319943,
600706.SH,2025-09-19,2025-10-10,10,ok,down,13.06,10.21,-2.8499999999999996,-0.21822358346094942,
601869.SH,2025-09-19,2025-10-10,10,ok,down,120.62,91.23,-29.39,-0.24365776819764548,
603519.SH,2025-09-19,2025-10-10,10,ok,down,13.24,12.35,-0.8900000000000006,-0.06722054380664656,
603618.SH,2025-09-19,2025-10-10,10,ok,down,10.11,9.65,-0.4599999999999991,-0.04549950544015817,
603686.SH,2025-09-19,2025-10-10,10,ok,up,23.12,23.74,0.6199999999999974,0.02681660899653968,
605255.SH,2025-09-19,,10,error,,,,,,Missing daily row for 2025-10-10.
001337.SZ,2025-09-22,2025-10-13,10,ok,up,28.28,31.36,3.0799999999999983,0.10891089108910884,
002222.SZ,2025-09-22,2025-10-13,10,ok,down,52.75,52.27,-0.4799999999999969,-0.00909952606635065,
002246.SZ,2025-09-22,2025-10-13,10,ok,up,18.77,22.37,3.6000000000000014,0.1917954182205648,
002543.SZ,2025-09-22,2025-10-13,10,ok,down,12.62,12.09,-0.5299999999999994,-0.041996830427892186,
002549.SZ,2025-09-22,2025-10-13,10,ok,up,22.84,27.32,4.48,0.1961471103327496,
002716.SZ,2025-09-22,2025-10-13,10,ok,up,6.75,7.62,0.8700000000000001,0.12888888888888891,
300501.SZ,2025-09-22,2025-10-13,10,ok,down,18.09,17.01,-1.0799999999999983,-0.05970149253731334,
300657.SZ,2025-09-22,2025-10-13,10,ok,down,35.36,32.18,-3.1799999999999997,-0.08993212669683258,
300846.SZ,2025-09-22,2025-10-13,10,ok,down,25.1,22.77,-2.330000000000002,-0.0928286852589642,
300867.SZ,2025-09-22,2025-10-13,10,ok,up,18.78,19.61,0.8299999999999983,0.044195953141639946,
600489.SH,2025-09-22,2025-10-13,10,ok,up,19.98,25.5,5.52,0.27627627627627627,
600509.SH,2025-09-22,2025-10-13,10,ok,up,8.71,9.24,0.5299999999999994,0.06084959816303092,
600857.SH,2025-09-22,2025-10-13,10,ok,up,14.74,16.73,1.9900000000000002,0.13500678426051563,
601069.SH,2025-09-22,2025-10-13,10,ok,up,30.8,32.9,2.099999999999998,0.06818181818181811,
603618.SH,2025-09-22,2025-10-13,10,ok,down,11.12,9.79,-1.33,-0.11960431654676261,
603686.SH,2025-09-22,2025-10-13,10,ok,down,25.43,24.92,-0.509999999999998,-0.020055053086905153,
603798.SH,2025-09-22,2025-10-13,10,ok,down,17.3,16.09,-1.2100000000000009,-0.06994219653179196,
000975.SZ,2025-09-23,2025-10-14,10,ok,up,21.46,23.81,2.349999999999998,0.10950605778191974,
002249.SZ,2025-09-23,2025-10-14,10,ok,down,11.69,10.92,-0.7699999999999996,-0.06586826347305386,
002402.SZ,2025-09-23,2025-10-14,10,ok,down,55.19,47.85,-7.339999999999996,-0.1329951078093857,
002515.SZ,2025-09-23,2025-10-14,10,ok,down,7.85,7.05,-0.7999999999999998,-0.10191082802547768,
002706.SZ,2025-09-23,2025-10-14,10,ok,down,12.14,11.25,-0.8900000000000006,-0.07331136738056017,
300001.SZ,2025-09-23,2025-10-14,10,ok,down,27.95,27.1,-0.8499999999999979,-0.030411449016100104,
300250.SZ,2025-09-23,2025-10-14,10,ok,down,26.29,25.93,-0.35999999999999943,-0.013693419551160116,
300969.SZ,2025-09-23,2025-10-14,10,ok,down,139.0,101.51,-37.489999999999995,-0.2697122302158273,
301086.SZ,2025-09-23,2025-10-14,10,ok,down,81.59,73.42,-8.170000000000002,-0.10013482044368184,
301095.SZ,2025-09-23,2025-10-14,10,ok,down,95.01,81.99,-13.02000000000001,-0.13703820650457857,
301217.SZ,2025-09-23,2025-10-14,10,ok,down,34.13,28.14,-5.990000000000002,-0.17550542045121598,
600105.SH,2025-09-23,2025-10-14,10,ok,up,12.1,15.08,2.9800000000000004,0.24628099173553722,
600416.SH,2025-09-23,2025-10-14,10,ok,down,16.41,15.55,-0.8599999999999994,-0.052407068860450906,
600797.SH,2025-09-23,2025-10-14,10,ok,down,12.07,10.59,-1.4800000000000004,-0.12261806130903069,
603061.SH,2025-09-23,2025-10-14,10,ok,up,120.01,127.44,7.429999999999993,0.0619115073743854,
605255.SH,2025-09-23,,10,error,,,,,,Missing daily row for 2025-10-14.
000685.SZ,2025-09-24,2025-10-15,10,ok,up,11.94,13.16,1.2200000000000006,0.10217755443886103,
001208.SZ,2025-09-24,2025-10-15,10,ok,down,14.65,13.08,-1.5700000000000003,-0.10716723549488057,
001230.SZ,2025-09-24,2025-10-15,10,ok,down,25.27,22.61,-2.66,-0.10526315789473685,
002040.SZ,2025-09-24,2025-10-15,10,ok,down,11.98,11.61,-0.370000000000001,-0.030884808013355674,
002060.SZ,2025-09-24,2025-10-15,10,ok,down,4.29,3.85,-0.43999999999999995,-0.10256410256410255,
002207.SZ,2025-09-24,2025-10-15,10,ok,up,8.12,8.24,0.120000000000001,0.014778325123152834,
300164.SZ,2025-09-24,2025-10-15,10,ok,up,5.5,5.75,0.25,0.045454545454545456,
300483.SZ,2025-09-24,2025-10-15,10,ok,up,12.52,14.29,1.7699999999999996,0.14137380191693288,
300604.SZ,2025-09-24,2025-10-15,10,ok,down,96.32,84.78,-11.539999999999992,-0.1198089700996677,
300666.SZ,2025-09-24,2025-10-15,10,ok,up,98.82,101.28,2.460000000000008,0.0248937462052217,
600167.SH,2025-09-24,2025-10-15,10,ok,down,9.6,8.97,-0.629999999999999,-0.0656249999999999,
600635.SH,2025-09-24,2025-10-15,10,ok,up,6.35,6.81,0.45999999999999996,0.07244094488188976,
600895.SH,2025-09-24,2025-10-15,10,ok,down,50.78,47.23,-3.5500000000000043,-0.06990941315478542,
603087.SH,2025-09-24,2025-10-15,10,ok,down,79.34,70.89,-8.450000000000003,-0.10650365515502902,
605338.SH,2025-09-24,2025-10-15,10,ok,up,23.57,25.96,2.3900000000000006,0.10140008485362752,
000060.SZ,2025-09-25,2025-10-16,10,ok,up,5.25,5.76,0.5099999999999998,0.0971428571428571,
000571.SZ,2025-09-25,2025-10-16,10,ok,up,5.32,5.98,0.6600000000000001,0.12406015037593987,
000630.SZ,2025-09-25,2025-10-16,10,ok,up,4.66,5.43,0.7699999999999996,0.16523605150214582,
000737.SZ,2025-09-25,2025-10-16,10,ok,up,14.82,16.6,1.7800000000000011,0.12010796221322545,
000969.SZ,2025-09-25,2025-10-16,10,ok,up,13.53,20.31,6.779999999999999,0.5011086474501109,
000977.SZ,2025-09-25,2025-10-16,10,ok,down,76.05,67.41,-8.64,-0.11360946745562131,
000988.SZ,2025-09-25,2025-10-16,10,ok,down,97.68,80.96,-16.720000000000013,-0.17117117117117128,
002029.SZ,2025-09-25,2025-10-16,10,ok,up,9.35,9.37,0.019999999999999574,0.0021390374331550347,
002153.SZ,2025-09-25,2025-10-16,10,ok,down,11.0,10.27,-0.7300000000000004,-0.0663636363636364,
002195.SZ,2025-09-25,2025-10-16,10,ok,down,8.2,7.32,-0.879999999999999,-0.1073170731707316,
002255.SZ,2025-09-25,2025-10-16,10,ok,up,8.4,9.05,0.6500000000000004,0.07738095238095243,
002294.SZ,2025-09-25,2025-10-16,10,ok,down,62.3,56.41,-5.890000000000001,-0.09454253611556984,
002298.SZ,2025-09-25,2025-10-16,10,ok,down,13.79,13.39,-0.3999999999999986,-0.0290065264684553,
002326.SZ,2025-09-25,2025-10-16,10,ok,down,17.06,17.01,-0.04999999999999716,-0.002930832356389048,
002453.SZ,2025-09-25,2025-10-16,10,ok,down,9.76,6.73,-3.0299999999999994,-0.31045081967213106,
002471.SZ,2025-09-25,2025-10-16,10,ok,down,5.42,5.18,-0.2400000000000002,-0.04428044280442808,
002922.SZ,2025-09-25,2025-10-16,10,ok,up,21.57,24.78,3.210000000000001,0.1488178025034771,
300111.SZ,2025-09-25,2025-10-16,10,ok,flat,9.0,9.0,0.0,0.0,
300339.SZ,2025-09-25,2025-10-16,10,ok,down,61.78,61.01,-0.7700000000000031,-0.01246358044674657,
300354.SZ,2025-09-25,2025-10-16,10,ok,down,51.48,45.56,-5.919999999999995,-0.1149961149961149,
300442.SZ,2025-09-25,2025-10-16,10,ok,down,55.92,47.21,-8.71,-0.155758226037196,
300571.SZ,2025-09-25,2025-10-16,10,ok,down,36.61,33.63,-2.979999999999997,-0.08139852499317118,
300617.SZ,2025-09-25,2025-10-16,10,ok,up,36.4,38.35,1.9500000000000028,0.05357142857142865,
300697.SZ,2025-09-25,2025-10-16,10,ok,down,17.42,17.3,-0.120000000000001,-0.006888633754305452,
300926.SZ,2025-09-25,2025-10-16,10,ok,down,33.05,31.69,-1.3599999999999959,-0.04114977307110427,
300963.SZ,2025-09-25,2025-10-16,10,ok,up,19.96,22.7,2.7399999999999984,0.1372745490981963,
301137.SZ,2025-09-25,2025-10-16,10,ok,up,36.31,46.18,9.869999999999997,0.2718259432663177,
301189.SZ,2025-09-25,2025-10-16,10,ok,down,34.47,32.52,-1.9499999999999957,-0.05657093124456036,
