ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_volume_1430,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r,entry_exception
301282.SZ,2025-08-20,gaps up,skipped,volume_rule;reversal_rule;gap_fill_rule,2025-08-21,2025-08-21 14:30:00,28.72,,,,,,,,,,,,,,False,volume_rule;reversal_rule;gap_fill_rule,2025-08-21,2025-08-21 14:30:00,28.72,28.09,29.61,29.11,28.45,30.45,21985164.0,16075492.0,0.19500000000000028,False,False,False,0.35999999999999943,,,
603657.SH,2025-08-20,gaps up,skipped,volume_rule,2025-08-21,2025-08-21 14:30:00,42.02,,,,,,,,,,,,,,False,volume_rule,2025-08-21,2025-08-21 14:30:00,42.02,38.7,40.98,42.21,39.53,42.57,8316458.0,7181740.0,0.1544715447154448,True,False,True,0.8299999999999983,,,
002056.SZ,2025-08-21,gaps up,skipped,pullback_rule,2025-08-22,2025-08-22 14:30:00,17.78,,,,,,,,,,,,,,False,pullback_rule,2025-08-22,2025-08-22 14:30:00,17.78,17.55,17.85,18.3,17.69,19.17,114769242.0,64244168.0,1.1555555555555563,True,False,True,0.14000000000000057,,,
002315.SZ,2025-08-21,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-08-22,2025-08-22 14:30:00,52.35,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-08-22,2025-08-22 14:30:00,52.35,51.5,51.81,53.18,51.6,53.5,12797369.0,11963409.0,0.6058394160583941,False,False,False,0.10000000000000142,,,
002714.SZ,2025-08-21,gaps up,skipped,pullback_rule;reversal_rule,2025-08-22,2025-08-22 14:30:00,49.5,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-08-22,2025-08-22 14:30:00,49.5,47.66,49.63,50.21,48.36,51.76,109418387.0,51566225.0,1.2241379310344878,False,False,True,0.7000000000000028,,,
300777.SZ,2025-08-21,gaps up,skipped,volume_rule;reversal_rule;gap_fill_rule,2025-08-22,2025-08-22 14:30:00,38.39,,,,,,,,,,,,,,False,volume_rule;reversal_rule;gap_fill_rule,2025-08-22,2025-08-22 14:30:00,38.39,37.36,37.55,37.76,37.41,38.26,11548581.0,10674693.0,0.0,False,False,False,0.04999999999999716,,,
600660.SH,2025-08-21,gaps up,skipped,pullback_rule;reversal_rule,2025-08-22,2025-08-22 14:30:00,62.21,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-08-22,2025-08-22 14:30:00,62.21,61.35,62.61,64.7,62.0,65.18,69361194.0,27251874.0,1.1913875598086114,False,False,True,0.6499999999999986,,,
601319.SH,2025-08-21,gaps up,skipped,volume_rule;reversal_rule,2025-08-22,2025-08-22 14:30:00,8.71,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-08-22,2025-08-22 14:30:00,8.71,8.58,8.61,8.71,8.59,8.85,92677930.0,66082326.0,0.0,False,False,True,0.009999999999999787,,,
605296.SH,2025-08-21,gaps up,skipped,pullback_rule;gap_fill_rule,2025-08-22,2025-08-22 14:30:00,32.49,,,,,,,,,,,,,,False,pullback_rule;gap_fill_rule,2025-08-22,2025-08-22 14:30:00,32.49,32.55,32.83,33.2,32.56,34.0,7356765.0,4885162.0,1.9189189189188975,True,False,False,0.010000000000005116,,,
002080.SZ,2025-08-22,gaps up,skipped,volume_rule,2025-08-25,2025-08-25 14:30:00,38.69,,,,,,,,,,,,,,False,volume_rule,2025-08-25,2025-08-25 14:30:00,38.69,32.44,33.0,35.29,32.6,35.29,59339251.0,64389673.0,0.0,False,True,True,0.1600000000000037,,,
