ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_day_volume,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r
300858.SZ,2025-11-12,,skipped,reversal_rule,2025-11-13,2025-11-13 14:30:00,19.23,,,,,,,,,,,,,,False,reversal_rule,2025-11-13,2025-11-13 14:30:00,19.23,18.09,18.4,19.17,18.11,19.49,20821921.0,11093680.0,0.0,False,False,True,0.019999999999999574,,
300263.SZ,2025-11-11,,skipped,pullback_rule;reversal_rule,2025-11-12,2025-11-12 14:30:00,8.84,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-11-12,2025-11-12 14:30:00,8.84,8.3,8.42,9.13,8.41,9.4,146784516.0,74485865.0,0.4084507042253529,False,False,True,0.10999999999999943,,
600094.SH,2025-11-11,,skipped,pullback_rule;reversal_rule,2025-11-12,2025-11-12 14:30:00,5.54,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-11-12,2025-11-12 14:30:00,5.54,5.35,5.38,5.79,5.37,5.79,137735503.0,100309098.0,0.6097560975609754,False,False,True,0.020000000000000462,,
600645.SH,2025-11-10,,skipped,pullback_rule;reversal_rule,2025-11-11,2025-11-11 14:30:00,26.05,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-11-11,2025-11-11 14:30:00,26.05,24.8,24.9,26.78,24.9,27.06,35612628.0,20211055.0,0.38829787234042523,False,False,True,0.09999999999999787,,
002731.SZ,2025-11-10,,skipped,reversal_rule,2025-11-11,2025-11-11 14:30:00,15.43,,,,,,,,,,,,,,False,reversal_rule,2025-11-11,2025-11-11 14:30:00,15.43,13.9,14.31,14.83,14.09,15.06,32399389.0,21878184.0,0.0,False,False,True,0.1899999999999995,,
000703.SZ,2025-11-10,,traded,completed,2025-11-11,2025-11-11 14:30:00,7.25,6.887499999999999,0.3625000000000007,2025-11-21,2025-11-21 09:31:00,7.25,trailing_stop,9.0,0.0,0.0,0.0,1.3517241379310325,-0.22068965517241357,7.25,True,eligible,2025-11-11,2025-11-11 14:30:00,7.25,6.9,7.01,7.3,6.99,7.37,64791029.0,25985640.0,0.17241379310344765,False,True,True,0.08999999999999986,6.887499999999999,0.3625000000000007
603612.SH,2025-11-10,,skipped,pullback_rule,2025-11-11,2025-11-11 14:30:00,28.53,,,,,,,,,,,,,,False,pullback_rule,2025-11-11,2025-11-11 14:30:00,28.53,27.27,27.84,29.06,27.84,29.41,86015570.0,50536380.0,0.43442622950819515,False,True,True,0.5700000000000003,,
000830.SZ,2025-11-10,,skipped,volume_rule,2025-11-11,2025-11-11 14:30:00,16.38,,,,,,,,,,,,,,False,volume_rule,2025-11-11,2025-11-11 14:30:00,16.38,14.27,15.43,15.53,15.3,15.53,78155372.0,100978096.0,0.0,False,True,True,1.0300000000000011,,
600939.SH,2025-11-10,,skipped,volume_rule;reversal_rule,2025-11-11,2025-11-11 14:30:00,4.39,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-11-11,2025-11-11 14:30:00,4.39,3.97,4.2,4.37,4.0,4.37,107597902.0,197585117.0,0.0,False,False,True,0.029999999999999805,,
000830.SZ,2025-11-10,,skipped,volume_rule,2025-11-11,2025-11-11 14:30:00,16.38,,,,,,,,,,,,,,False,volume_rule,2025-11-11,2025-11-11 14:30:00,16.38,14.27,15.43,15.53,15.3,15.53,78155372.0,100978096.0,0.0,False,True,True,1.0300000000000011,,
