ts_code,detect_date,note
002171.SZ,20250908,gaps up
002460.SZ,20250908,gaps up
002901.SZ,20250908,gaps up
002978.SZ,20250908,gaps up
300082.SZ,20250908,gaps up
300611.SZ,20250908,gaps up
301150.SZ,20250908,gaps up
301225.SZ,20250908,gaps up
601677.SH,20250908,gaps up
000757.SZ,20250909,gaps up
600988.SH,20250909,gaps up
000988.SZ,20250911,gaps up
002080.SZ,20250911,gaps up
002313.SZ,20250911,gaps up
002384.SZ,20250911,gaps up
002463.SZ,20250911,gaps up
002516.SZ,20250911,gaps up
003022.SZ,20250911,gaps up
300153.SZ,20250911,gaps up
300308.SZ,20250911,gaps up
300395.SZ,20250911,gaps up
301248.SZ,20250911,gaps up
301397.SZ,20250911,gaps up
601116.SH,20250911,gaps up
601138.SH,20250911,gaps up
603151.SH,20250911,gaps up
603256.SH,20250911,gaps up
605069.SH,20250911,gaps up
000032.SZ,20250912,gaps up
000070.SZ,20250912,gaps up
000592.SZ,20250912,gaps up
000603.SZ,20250912,gaps up
000612.SZ,20250912,gaps up
000737.SZ,20250912,gaps up
000807.SZ,20250912,gaps up
000878.SZ,20250912,gaps up
000880.SZ,20250912,gaps up
000933.SZ,20250912,gaps up
001202.SZ,20250912,gaps up
001309.SZ,20250912,gaps up
002062.SZ,20250912,gaps up
002335.SZ,20250912,gaps up
002379.SZ,20250912,gaps up
002436.SZ,20250912,gaps up
002491.SZ,20250912,gaps up
002515.SZ,20250912,gaps up
002527.SZ,20250912,gaps up
002532.SZ,20250912,gaps up
002578.SZ,20250912,gaps up
002642.SZ,20250912,gaps up
002772.SZ,20250912,gaps up
002798.SZ,20250912,gaps up
002863.SZ,20250912,gaps up
002905.SZ,20250912,gaps up
002968.SZ,20250912,gaps up
300244.SZ,20250912,gaps up
300252.SZ,20250912,gaps up
300324.SZ,20250912,gaps up
300373.SZ,20250912,gaps up
300670.SZ,20250912,gaps up
300697.SZ,20250912,gaps up
300738.SZ,20250912,gaps up
300852.SZ,20250912,gaps up
300895.SZ,20250912,gaps up
301002.SZ,20250912,gaps up
301308.SZ,20250912,gaps up
600067.SH,20250912,gaps up
600106.SH,20250912,gaps up
600172.SH,20250912,gaps up
600353.SH,20250912,gaps up
600362.SH,20250912,gaps up
600521.SH,20250912,gaps up
600595.SH,20250912,gaps up
600601.SH,20250912,gaps up
600629.SH,20250912,gaps up
600633.SH,20250912,gaps up
600651.SH,20250912,gaps up
600704.SH,20250912,gaps up
600846.SH,20250912,gaps up
601168.SH,20250912,gaps up
601208.SH,20250912,gaps up
601518.SH,20250912,gaps up
601619.SH,20250912,gaps up
603083.SH,20250912,gaps up
603161.SH,20250912,gaps up
603203.SH,20250912,gaps up
603228.SH,20250912,gaps up
603359.SH,20250912,gaps up
603516.SH,20250912,gaps up
603698.SH,20250912,gaps up
603881.SH,20250912,gaps up
603888.SH,20250912,gaps up
603979.SH,20250912,gaps up
603986.SH,20250912,gaps up
603993.SH,20250912,gaps up
605289.SH,20250912,gaps up
000737.SZ,20250915,gaps up
001309.SZ,20250915,gaps up
002330.SZ,20250915,gaps up
002392.SZ,20250915,gaps up
002471.SZ,20250915,gaps up
002703.SZ,20250915,gaps up
300750.SZ,20250915,gaps up
300813.SZ,20250915,gaps up
301099.SZ,20250915,gaps up
600531.SH,20250915,gaps up
600601.SH,20250915,gaps up
600977.SH,20250915,gaps up
603050.SH,20250915,gaps up
603127.SH,20250915,gaps up
605319.SH,20250915,gaps up
000428.SZ,20250916,gaps up
000700.SZ,20250916,gaps up
000967.SZ,20250916,gaps up
001230.SZ,20250916,gaps up
002172.SZ,20250916,gaps up
002183.SZ,20250916,gaps up
002279.SZ,20250916,gaps up
002310.SZ,20250916,gaps up
300013.SZ,20250916,gaps up
300043.SZ,20250916,gaps up
300299.SZ,20250916,gaps up
300815.SZ,20250916,gaps up
300953.SZ,20250916,gaps up
301419.SZ,20250916,gaps up
301607.SZ,20250916,gaps up
600054.SH,20250916,gaps up
600173.SH,20250916,gaps up
600629.SH,20250916,gaps up
603083.SH,20250916,gaps up
603199.SH,20250916,gaps up
603266.SH,20250916,gaps up
603528.SH,20250916,gaps up
603617.SH,20250916,gaps up
603655.SH,20250916,gaps up
603959.SH,20250916,gaps up
605303.SH,20250916,gaps up
002126.SZ,20250917,gaps up
002222.SZ,20250917,gaps up
002249.SZ,20250917,gaps up
002338.SZ,20250917,gaps up
002472.SZ,20250917,gaps up
002549.SZ,20250917,gaps up
002562.SZ,20250917,gaps up
002611.SZ,20250917,gaps up
002617.SZ,20250917,gaps up
002796.SZ,20250917,gaps up
300007.SZ,20250917,gaps up
300115.SZ,20250917,gaps up
300260.SZ,20250917,gaps up
300469.SZ,20250917,gaps up
300809.SZ,20250917,gaps up
301002.SZ,20250917,gaps up
301008.SZ,20250917,gaps up
301100.SZ,20250917,gaps up
301287.SZ,20250917,gaps up
301392.SZ,20250917,gaps up
301499.SZ,20250917,gaps up
600410.SH,20250917,gaps up
600895.SH,20250917,gaps up
603275.SH,20250917,gaps up
603286.SH,20250917,gaps up
603308.SH,20250917,gaps up
603809.SH,20250917,gaps up
603906.SH,20250917,gaps up
605299.SH,20250917,gaps up
605588.SH,20250917,gaps up
000559.SZ,20250918,gaps up
002050.SZ,20250918,gaps up
002067.SZ,20250918,gaps up
301013.SZ,20250918,gaps up
301421.SZ,20250918,gaps up
600376.SH,20250918,gaps up
600699.SH,20250918,gaps up
603626.SH,20250918,gaps up
603988.SH,20250918,gaps up
001234.SZ,20250919,gaps up
002272.SZ,20250919,gaps up
002402.SZ,20250919,gaps up
002468.SZ,20250919,gaps up
002674.SZ,20250919,gaps up
600498.SH,20250919,gaps up
600706.SH,20250919,gaps up
601869.SH,20250919,gaps up
603519.SH,20250919,gaps up
603618.SH,20250919,gaps up
603686.SH,20250919,gaps up
605255.SH,20250919,gaps up
001337.SZ,20250922,gaps up
002222.SZ,20250922,gaps up
002246.SZ,20250922,gaps up
002543.SZ,20250922,gaps up
002549.SZ,20250922,gaps up
002716.SZ,20250922,gaps up
300501.SZ,20250922,gaps up
300657.SZ,20250922,gaps up
300846.SZ,20250922,gaps up
300867.SZ,20250922,gaps up
600489.SH,20250922,gaps up
600509.SH,20250922,gaps up
600857.SH,20250922,gaps up
601069.SH,20250922,gaps up
603618.SH,20250922,gaps up
603686.SH,20250922,gaps up
603798.SH,20250922,gaps up
000975.SZ,20250923,gaps up
002249.SZ,20250923,gaps up
002402.SZ,20250923,gaps up
002515.SZ,20250923,gaps up
002706.SZ,20250923,gaps up
300001.SZ,20250923,gaps up
300250.SZ,20250923,gaps up
300969.SZ,20250923,gaps up
301086.SZ,20250923,gaps up
301095.SZ,20250923,gaps up
301217.SZ,20250923,gaps up
600105.SH,20250923,gaps up
600416.SH,20250923,gaps up
600797.SH,20250923,gaps up
603061.SH,20250923,gaps up
605255.SH,20250923,gaps up
000685.SZ,20250924,gaps up
001208.SZ,20250924,gaps up
001230.SZ,20250924,gaps up
002040.SZ,20250924,gaps up
002060.SZ,20250924,gaps up
002207.SZ,20250924,gaps up
300164.SZ,20250924,gaps up
300483.SZ,20250924,gaps up
300604.SZ,20250924,gaps up
300666.SZ,20250924,gaps up
600167.SH,20250924,gaps up
600635.SH,20250924,gaps up
600895.SH,20250924,gaps up
603087.SH,20250924,gaps up
605338.SH,20250924,gaps up
000060.SZ,20250925,gaps up
000571.SZ,20250925,gaps up
000630.SZ,20250925,gaps up
000737.SZ,20250925,gaps up
000969.SZ,20250925,gaps up
000977.SZ,20250925,gaps up
000988.SZ,20250925,gaps up
002029.SZ,20250925,gaps up
002153.SZ,20250925,gaps up
002195.SZ,20250925,gaps up
002255.SZ,20250925,gaps up
002294.SZ,20250925,gaps up
002298.SZ,20250925,gaps up
002326.SZ,20250925,gaps up
002453.SZ,20250925,gaps up
002471.SZ,20250925,gaps up
002922.SZ,20250925,gaps up
300111.SZ,20250925,gaps up
300339.SZ,20250925,gaps up
300354.SZ,20250925,gaps up
300442.SZ,20250925,gaps up
300571.SZ,20250925,gaps up
300617.SZ,20250925,gaps up
300697.SZ,20250925,gaps up
300926.SZ,20250925,gaps up
300963.SZ,20250925,gaps up
301137.SZ,20250925,gaps up
301189.SZ,20250925,gaps up
301191.SZ,20250925,gaps up
301199.SZ,20250925,gaps up
301202.SZ,20250925,gaps up
301235.SZ,20250925,gaps up
301289.SZ,20250925,gaps up
301500.SZ,20250925,gaps up
600063.SH,20250925,gaps up
600276.SH,20250925,gaps up
600353.SH,20250925,gaps up
600363.SH,20250925,gaps up
600468.SH,20250925,gaps up
601609.SH,20250925,gaps up
603011.SH,20250925,gaps up
603081.SH,20250925,gaps up
603090.SH,20250925,gaps up
603118.SH,20250925,gaps up
603150.SH,20250925,gaps up
603527.SH,20250925,gaps up
603823.SH,20250925,gaps up
603979.SH,20250925,gaps up
603993.SH,20250925,gaps up
605189.SH,20250925,gaps up
605277.SH,20250925,gaps up
000987.SZ,20250926,gaps up
002049.SZ,20250926,gaps up
002295.SZ,20250926,gaps up
002510.SZ,20250926,gaps up
002803.SZ,20250926,gaps up
600025.SH,20250926,gaps up
600403.SH,20250926,gaps up
600459.SH,20250926,gaps up
600769.SH,20250926,gaps up
601619.SH,20250926,gaps up
